COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
ALB,,ALL,2008,95.68
ALB,,ALL,2009,85.01
ALB,,ALL,2010,123.31
ALB,,ALL,2011,113.75
ALB,,ALL,2012,50.74
ALB,,ALL,2013,78.32
ALB,,ALL,2014,39.15
ALB,,ALL,2015,88.64
ALB,,ALL,2016,72.48
ALB,,ALL,2017,51.83
AUT,,ALL,1985,26.3
AUT,,ALL,1986,33.35
AUT,,ALL,1987,45.09
AUT,,ALL,1988,27.26
AUT,,ALL,1989,29.29
AUT,,ALL,1990,28.74
AUT,,ALL,1991,22.19
AUT,,ALL,1992,17.84
AUT,,ALL,1993,30.45
AUT,,ALL,1994,20.56
AUT,,ALL,1995,30.45
AUT,,ALL,1996,18.02
AUT,,ALL,1997,20.23
AUT,,ALL,1998,20.93
AUT,,ALL,1999,29.44
AUT,,ALL,2000,23
AUT,,ALL,2001,14.58
AUT,,ALL,2002,20.41
AUT,,ALL,2003,14.3
AUT,,ALL,2004,13.93
AUT,,ALL,2005,14.07
AUT,,ALL,2006,12.83
AUT,,ALL,2007,11.8
AUT,,ALL,2008,16.72
AUT,,ALL,2009,20.96
AUT,,ALL,2010,15.24
AUT,,ALL,2011,7.68
AUT,,ALL,2012,7.6
AUT,,ALL,2013,3.78
AZE,,ALL,1997,4.54
AZE,,ALL,1999,2.55
AZE,,ALL,2002,8.13
AZE,,ALL,2003,11.46
AZE,,ALL,2004,17.48
AZE,,ALL,2005,12.68
AZE,,ALL,2006,20.14
AZE,,ALL,2007,22.37
AZE,,ALL,2008,24.99
AZE,,ALL,2009,33.52
AZE,,ALL,2010,31.39
AZE,,ALL,2011,23.85
AZE,,ALL,2012,18.34
AZE,,ALL,2013,22.01
AZE,,ALL,2014,28.74
AZE,,ALL,2015,21.66
AZE,,ALL,2016,20.07
AZE,,ALL,2017,26.38
BEL,,ALL,1980,83.27
BEL,,ALL,1981,121.98
BEL,,ALL,1982,60.64
BEL,,ALL,1983,101.55
BEL,,ALL,1984,86.67
BEL,,ALL,1985,49.08
BEL,,ALL,1986,107.6
